fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
0.8493051563220837,8,111,1,1.3360977172851562,10,0.9210526315789473
0.8493051563220837,8,111,2,3.2668652534484863,10,0.9210526315789473
0.8628676805897572,8,145,3,5.846480131149292,10,0.9098922812772774
0.8717149270033213,8,109,4,9.060763835906982,10,0.9210526315789473
0.8717149270033213,8,109,5,12.892179727554321,10,0.9210526315789473
0.8717149270033213,8,109,6,17.360338926315308,10,0.9210526315789473
0.8719075994997425,8,95,7,22.773150205612183,10,0.9077491797976063
0.8762289562289562,8,109,8,28.814286947250366,10,0.9210526315789473
0.8762289562289562,8,109,9,35.46131873130798,10,0.9210526315789473
0.8762289562289562,8,109,10,42.74023365974426,10,0.9210526315789473
0.8762289562289562,8,109,11,50.62969517707825,10,0.9210526315789473
0.8762289562289562,8,109,12,59.1401469707489,10,0.9210526315789473
0.8762289562289562,8,109,13,68.46337652206421,10,0.9210526315789473
0.8764254468191477,8,103,14,78.40445446968079,10,0.9210526315789473
0.8807415581549326,8,111,15,88.94854378700256,10,0.9210526315789473
0.8807415581549326,8,111,16,100.10890817642212,10,0.9210526315789473
0.8807415581549326,8,111,17,111.8744740486145,10,0.9210526315789473
0.8807415581549326,8,111,18,124.45872020721436,10,0.9210526315789473
0.8807415581549326,8,111,19,137.65214562416077,10,0.9210526315789473
0.8807415581549326,8,111,20,151.46587896347046,10,0.9210526315789473
0.8807415581549326,8,111,21,165.93972730636597,10,0.9210526315789473
0.8809411764705882,8,99,22,181.06563878059387,10,0.934338498766811
0.8809411764705882,8,99,23,196.81868267059326,10,0.934338498766811
0.8809411764705882,8,99,24,213.4097056388855,10,0.934338498766811
0.8809411764705882,8,99,25,230.66665029525757,10,0.934338498766811
0.8809411764705882,8,99,26,248.54183769226074,10,0.934338498766811
0.885069745069745,8,95,27,267.03814935684204,10,0.934338498766811
0.885069745069745,8,95,28,286.17312383651733,10,0.934338498766811
0.885069745069745,8,95,29,305.92939615249634,10,0.934338498766811
0.885069745069745,8,95,30,326.49696803092957,10,0.934338498766811
0.885069745069745,8,95,31,347.67362880706787,10,0.934338498766811
0.885069745069745,8,95,32,369.4515516757965,10,0.934338498766811
0.885069745069745,8,95,33,391.7941863536835,10,0.934338498766811
0.885069745069745,8,95,34,414.74731826782227,10,0.934338498766811
0.885069745069745,8,95,35,438.30837845802307,10,0.934338498766811
0.8895755168101228,8,99,36,462.6805636882782,10,0.934338498766811
0.8895755168101228,8,99,37,487.6665699481964,10,0.934338498766811
0.8895755168101228,8,99,38,513.2519342899323,10,0.934338498766811
0.8895755168101228,8,99,39,539.4464361667633,10,0.934338498766811
0.8895755168101228,8,99,40,566.2562701702118,10,0.934338498766811
0.8895755168101228,8,99,41,593.7402265071869,10,0.934338498766811
0.8895755168101228,8,99,42,622.0337328910828,10,0.934338498766811
0.8895755168101228,8,99,43,650.7062571048737,10,0.934338498766811
0.8895755168101228,8,99,44,679.7519268989563,10,0.934338498766811
0.8895755168101228,8,99,45,709.1685633659363,10,0.934338498766811
0.8895755168101228,8,99,46,738.9584798812866,10,0.934338498766811
0.8895755168101228,8,99,47,769.1229939460754,10,0.934338498766811
0.8895755168101228,8,99,48,799.8139955997467,10,0.934338498766811
0.8895755168101228,8,99,49,830.8773579597473,10,0.934338498766811
0.8895755168101228,8,99,50,862.3212373256683,10,0.934338498766811
0.8895755168101228,8,99,51,894.1392590999603,10,0.934338498766811
0.8895755168101228,8,99,52,926.3258006572723,10,0.934338498766811
0.8895755168101228,8,99,53,958.8876655101776,10,0.934338498766811
0.8895755168101228,8,99,54,991.9743013381958,10,0.934338498766811
