fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
290287.34400833724,2,9,1,0.6325275897979736,4
290287.34400833724,2,10,2,1.244783639907837,4
290287.34400833724,2,16,3,1.8502061367034912,4
290287.34400833724,2,13,4,2.440084934234619,4
290287.34400833724,2,9,5,3.0392978191375732,4
290287.34400833724,2,10,6,3.758338451385498,4
290287.34400833724,2,5,7,4.328780174255371,4
290287.34400833724,2,15,8,4.949949026107788,4
290287.34400833724,2,10,9,5.558003902435303,4
290287.34400833724,2,16,10,6.180753231048584,4
290287.34400833724,2,15,11,6.777622938156128,4
290287.34400833724,2,15,12,7.541373252868652,4
290287.34400833724,2,12,13,8.167398929595947,4
290287.34400833724,2,10,14,8.777562141418457,4
290287.34400833724,2,8,15,9.449342012405396,4
290287.34400833724,2,15,16,10.047142028808594,4
290287.34400833724,2,11,17,10.665671110153198,4
290287.34400833724,2,13,18,11.40556526184082,4
290287.34400833724,2,5,19,12.017118692398071,4
290287.34400833724,2,7,20,12.660873889923096,4
290287.34400833724,2,16,21,13.273369312286377,4
290287.34400833724,2,10,22,13.882632732391357,4
290287.34400833724,2,8,23,14.523390054702759,4
290287.34400833724,2,16,24,15.265902996063232,4
290287.34400833724,2,12,25,15.882927179336548,4
290287.34400833724,2,12,26,16.506028413772583,4
290287.34400833724,2,14,27,17.083865642547607,4
290287.34400833724,2,9,28,17.677777528762817,4
290287.34400833724,2,9,29,18.336069107055664,4
290287.34400833724,2,11,30,19.135227918624878,4
290287.34400833724,2,11,31,19.788919925689697,4
290287.34400833724,2,6,32,20.404974222183228,4
290287.34400833724,2,16,33,21.0452299118042,4
290287.34400833724,2,14,34,21.643309354782104,4
290287.34400833724,2,15,35,22.26699447631836,4
290287.34400833724,2,6,36,22.97293758392334,4
290287.34400833724,2,11,37,23.60323739051819,4
290287.34400833724,2,4,38,24.18507742881775,4
290287.34400833724,2,11,39,24.797866106033325,4
290287.34400833724,2,14,40,25.414060354232788,4
290287.34400833724,2,13,41,26.044862985610962,4
290287.34400833724,2,16,42,26.770761728286743,4
290287.34400833724,2,16,43,27.381998300552368,4
290287.34400833724,2,10,44,27.9839608669281,4
290287.34400833724,2,8,45,28.619868993759155,4
290287.34400833724,2,8,46,29.24978470802307,4
290287.34400833724,2,11,47,29.826082468032837,4
290287.34400833724,2,9,48,30.586121082305908,4
290287.34400833724,2,13,49,31.19648766517639,4
290287.34400833724,2,12,50,31.813998222351074,4
