fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
290287.34400833724,2,12,1,0.589310884475708,13
290287.34400833724,2,7,2,1.169337511062622,13
290287.34400833724,2,16,3,1.7299797534942627,13
290287.34400833724,2,14,4,2.3236865997314453,13
290287.34400833724,2,11,5,2.9372246265411377,13
290287.34400833724,2,15,6,3.6129355430603027,13
290287.34400833724,2,8,7,4.185248136520386,13
290287.34400833724,2,12,8,4.7610132694244385,13
290287.34400833724,2,7,9,5.353435039520264,13
290287.34400833724,2,4,10,5.918955326080322,13
290287.34400833724,2,8,11,6.522351503372192,13
290287.34400833724,2,12,12,7.243910312652588,13
290287.34400833724,2,15,13,7.839308023452759,13
290287.34400833724,2,10,14,8.424909830093384,13
290287.34400833724,2,14,15,8.99480676651001,13
290287.34400833724,2,16,16,9.598471879959106,13
290287.34400833724,2,8,17,10.20530390739441,13
290287.34400833724,2,11,18,10.937684297561646,13
290287.34400833724,2,10,19,11.51399827003479,13
290287.34400833724,2,12,20,12.108418941497803,13
290287.34400833724,2,4,21,12.681145429611206,13
290287.34400833724,2,12,22,13.239368200302124,13
290287.34400833724,2,13,23,13.834527730941772,13
290287.34400833724,2,13,24,14.534088850021362,13
290287.34400833724,2,10,25,15.18667483329773,13
290287.34400833724,2,14,26,15.78264856338501,13
290287.34400833724,2,7,27,16.40169048309326,13
290287.34400833724,2,10,28,17.03368353843689,13
290287.34400833724,2,16,29,17.63964605331421,13
290287.34400833724,2,11,30,18.387248992919922,13
290287.34400833724,2,11,31,19.004254817962646,13
290287.34400833724,2,9,32,19.60064196586609,13
290287.34400833724,2,16,33,20.210886001586914,13
290287.34400833724,2,12,34,20.83137607574463,13
290287.34400833724,2,6,35,21.44075894355774,13
290287.34400833724,2,12,36,22.16739559173584,13
290287.34400833724,2,7,37,22.798056840896606,13
290287.34400833724,2,15,38,23.413022994995117,13
290287.34400833724,2,14,39,24.0046067237854,13
290287.34400833724,2,7,40,24.633076667785645,13
290287.34400833724,2,14,41,25.245218753814697,13
290287.34400833724,2,13,42,25.95159339904785,13
290287.34400833724,2,15,43,26.57611083984375,13
290287.34400833724,2,14,44,27.188490629196167,13
290287.34400833724,2,8,45,27.79774522781372,13
290287.34400833724,2,14,46,28.39501118659973,13
290287.34400833724,2,12,47,29.023959636688232,13
290287.34400833724,2,15,48,29.796046495437622,13
290287.34400833724,2,15,49,30.434216022491455,13
290287.34400833724,2,16,50,31.047383069992065,13
290287.34400833724,2,14,51,31.674921989440918,13
290287.34400833724,2,6,52,32.27862048149109,13
290287.34400833724,2,10,53,33.01810121536255,13
290287.34400833724,2,16,54,33.6194589138031,13
290287.34400833724,2,9,55,34.235764265060425,13
290287.34400833724,2,6,56,34.829469442367554,13
290287.34400833724,2,6,57,35.4512083530426,13
290287.34400833724,2,12,58,36.080730676651,13
290287.34400833724,2,13,59,36.81802010536194,13
290287.34400833724,2,13,60,37.44206619262695,13
290287.34400833724,2,7,61,38.04372048377991,13
290287.34400833724,2,14,62,38.644572734832764,13
290287.34400833724,2,14,63,39.275099754333496,13
290287.34400833724,2,16,64,39.91892647743225,13
290287.34400833724,2,10,65,40.70081353187561,13
290287.34400833724,2,9,66,41.320220708847046,13
290287.34400833724,2,15,67,41.95868372917175,13
290287.34400833724,2,14,68,42.57534885406494,13
290287.34400833724,2,12,69,43.208905935287476,13
290287.34400833724,2,12,70,43.81454944610596,13
290287.34400833724,2,12,71,44.566970109939575,13
290287.34400833724,2,10,72,45.16796922683716,13
290287.34400833724,2,5,73,45.803797245025635,13
290287.34400833724,2,8,74,46.42688536643982,13
290287.34400833724,2,9,75,47.02216672897339,13
290287.34400833724,2,11,76,47.65384292602539,13
290287.34400833724,2,7,77,48.39720153808594,13
290287.34400833724,2,15,78,49.0103862285614,13
290287.34400833724,2,12,79,49.605639934539795,13
290287.34400833724,2,13,80,50.220821142196655,13
290287.34400833724,2,14,81,50.84131932258606,13
290287.34400833724,2,15,82,51.419816970825195,13
290287.34400833724,2,16,83,52.17933535575867,13
290287.34400833724,2,11,84,52.77206516265869,13
290287.34400833724,2,12,85,53.365671157836914,13
290287.34400833724,2,10,86,53.95984196662903,13
290287.34400833724,2,14,87,54.610031843185425,13
290287.34400833724,2,11,88,55.257198333740234,13
290287.34400833724,2,8,89,56.016868591308594,13
290287.34400833724,2,9,90,56.61854600906372,13
290287.34400833724,2,13,91,57.18630790710449,13
290287.34400833724,2,7,92,57.79094839096069,13
290287.34400833724,2,11,93,58.43112564086914,13
290287.34400833724,2,16,94,59.06023144721985,13
290287.34400833724,2,15,95,59.82207250595093,13
290287.34400833724,2,13,96,60.438963413238525,13
290287.34400833724,2,12,97,61.07031726837158,13
290287.34400833724,2,11,98,61.66741895675659,13
290287.34400833724,2,7,99,62.26463317871094,13
290287.34400833724,2,16,100,63.03352475166321,13
290287.34400833724,2,8,101,63.67729330062866,13
290287.34400833724,2,11,102,64.33166289329529,13
290287.34400833724,2,14,103,65.00889921188354,13
290287.34400833724,2,11,104,65.64956641197205,13
290287.34400833724,2,16,105,66.28583788871765,13
290287.34400833724,2,15,106,67.05581426620483,13
290287.34400833724,2,16,107,67.6823148727417,13
290287.34400833724,2,12,108,68.30853581428528,13
290287.34400833724,2,14,109,68.91173911094666,13
290287.34400833724,2,12,110,69.54051804542542,13
290287.34400833724,2,9,111,70.1654326915741,13
290287.34400833724,2,13,112,70.90108799934387,13
290287.34400833724,2,7,113,71.54842591285706,13
290287.34400833724,2,12,114,72.17416405677795,13
290287.34400833724,2,14,115,72.8121931552887,13
290287.34400833724,2,16,116,73.43295550346375,13
290287.34400833724,2,15,117,74.0588686466217,13
290287.34400833724,2,11,118,74.83581948280334,13
290287.34400833724,2,7,119,75.44007468223572,13
290287.34400833724,2,14,120,76.0411114692688,13
290287.34400833724,2,6,121,76.66681838035583,13
290287.34400833724,2,14,122,77.2947404384613,13
290287.34400833724,2,15,123,77.891432762146,13
290287.34400833724,2,4,124,78.64537453651428,13
290287.34400833724,2,13,125,79.2091076374054,13
290287.34400833724,2,11,126,79.83782601356506,13
290287.34400833724,2,12,127,80.44745540618896,13
290287.34400833724,2,16,128,81.10144925117493,13
290287.34400833724,2,15,129,81.7398910522461,13
290287.34400833724,2,15,130,82.51758790016174,13
290287.34400833724,2,5,131,83.10826134681702,13
290287.34400833724,2,12,132,83.73337864875793,13
290287.34400833724,2,12,133,84.38124990463257,13
290287.34400833724,2,12,134,84.96525478363037,13
290287.34400833724,2,7,135,85.58176851272583,13
290287.34400833724,2,10,136,86.33804774284363,13
290287.34400833724,2,15,137,86.94038844108582,13
290287.34400833724,2,12,138,87.56280374526978,13
290287.34400833724,2,9,139,88.20330095291138,13
290287.34400833724,2,16,140,88.84335494041443,13
290287.34400833724,2,11,141,89.46791648864746,13
290287.34400833724,2,16,142,90.25121974945068,13
290287.34400833724,2,11,143,90.87953352928162,13
290287.34400833724,2,11,144,91.50558733940125,13
290287.34400833724,2,12,145,92.12179183959961,13
290287.34400833724,2,13,146,92.72059178352356,13
290287.34400833724,2,13,147,93.32396650314331,13
290287.34400833724,2,11,148,94.08445882797241,13
290287.34400833724,2,7,149,94.69629979133606,13
290287.34400833724,2,13,150,95.32544803619385,13
290287.34400833724,2,10,151,95.97616910934448,13
290287.34400833724,2,10,152,96.61004185676575,13
290287.34400833724,2,15,153,97.38827919960022,13
290287.34400833724,2,16,154,98.03351140022278,13
290287.34400833724,2,16,155,98.66249299049377,13
290287.34400833724,2,9,156,99.26782560348511,13
290287.34400833724,2,15,157,99.90214037895203,13
290287.34400833724,2,7,158,100.52690505981445,13
290287.34400833724,2,16,159,101.28781771659851,13
290287.34400833724,2,9,160,101.91230416297913,13
290287.34400833724,2,11,161,102.53546190261841,13
290287.34400833724,2,10,162,103.14028596878052,13
290287.34400833724,2,6,163,103.74846863746643,13
290287.34400833724,2,6,164,104.40554308891296,13
290287.34400833724,2,8,165,105.15975451469421,13
290287.34400833724,2,13,166,105.79659581184387,13
290287.34400833724,2,16,167,106.45824217796326,13
290287.34400833724,2,4,168,107.08411192893982,13
290287.34400833724,2,9,169,107.70387125015259,13
290287.34400833724,2,13,170,108.35210871696472,13
290287.34400833724,2,8,171,109.10819363594055,13
290287.34400833724,2,6,172,109.7304174900055,13
290287.34400833724,2,15,173,110.3195571899414,13
290287.34400833724,2,12,174,110.95046997070312,13
290287.34400833724,2,16,175,111.5662772655487,13
290287.34400833724,2,11,176,112.18144273757935,13
290287.34400833724,2,15,177,112.96484684944153,13
290287.34400833724,2,16,178,113.54406785964966,13
290287.34400833724,2,10,179,114.15596628189087,13
290287.34400833724,2,7,180,114.76071405410767,13
290287.34400833724,2,15,181,115.35559940338135,13
290287.34400833724,2,10,182,115.99529981613159,13
290287.34400833724,2,6,183,116.72852396965027,13
290287.34400833724,2,14,184,117.33091521263123,13
290287.34400833724,2,9,185,117.99994826316833,13
290287.34400833724,2,13,186,118.59291481971741,13
290287.34400833724,2,16,187,119.24481582641602,13
290287.34400833724,2,13,188,119.97151255607605,13
290287.34400833724,2,16,189,120.55955576896667,13
