fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
290287.34400833724,2,16,1,0.6428794860839844,16
290287.34400833724,2,11,2,1.311509370803833,16
290287.34400833724,2,11,3,1.9292237758636475,16
290287.34400833724,2,12,4,2.522840738296509,16
290287.34400833724,2,6,5,3.14127779006958,16
290287.34400833724,2,9,6,3.880826473236084,16
290287.34400833724,2,5,7,4.530453681945801,16
290287.34400833724,2,13,8,5.135087966918945,16
290287.34400833724,2,11,9,5.749266624450684,16
290287.34400833724,2,11,10,6.345164775848389,16
290287.34400833724,2,13,11,7.0039966106414795,16
290287.34400833724,2,11,12,7.749354600906372,16
290287.34400833724,2,9,13,8.3867826461792,16
290287.34400833724,2,13,14,8.998306035995483,16
290287.34400833724,2,8,15,9.62515926361084,16
290287.34400833724,2,13,16,10.225739240646362,16
290287.34400833724,2,11,17,10.846847295761108,16
290287.34400833724,2,12,18,11.606674194335938,16
290287.34400833724,2,15,19,12.211609363555908,16
290287.34400833724,2,9,20,12.801682472229004,16
290287.34400833724,2,11,21,13.442883729934692,16
290287.34400833724,2,13,22,14.057924747467041,16
290287.34400833724,2,9,23,14.688022375106812,16
290287.34400833724,2,6,24,15.405961751937866,16
290287.34400833724,2,8,25,16.053534269332886,16
290287.34400833724,2,12,26,16.67998504638672,16
290287.34400833724,2,14,27,17.29441547393799,16
290287.34400833724,2,6,28,17.8926739692688,16
290287.34400833724,2,14,29,18.51682186126709,16
290287.34400833724,2,9,30,19.239561557769775,16
290287.34400833724,2,16,31,19.864404439926147,16
290287.34400833724,2,12,32,20.525906562805176,16
290287.34400833724,2,10,33,21.142393350601196,16
290287.34400833724,2,6,34,21.77215003967285,16
290287.34400833724,2,9,35,22.365004777908325,16
290287.34400833724,2,5,36,23.12795662879944,16
290287.34400833724,2,6,37,23.77710771560669,16
290287.34400833724,2,12,38,24.39551568031311,16
290287.34400833724,2,12,39,25.00227379798889,16
290287.34400833724,2,8,40,25.62512731552124,16
290287.34400833724,2,6,41,26.224446535110474,16
290287.34400833724,2,14,42,26.877800226211548,16
290287.34400833724,2,14,43,27.293665409088135,16
290287.34400833724,2,15,44,27.760297060012817,16
290287.34400833724,2,7,45,28.26925778388977,16
290287.34400833724,2,12,46,28.71853280067444,16
290287.34400833724,2,13,47,29.2066068649292,16
290287.34400833724,2,16,48,29.820099353790283,16
290287.34400833724,2,15,49,30.283318758010864,16
290287.34400833724,2,14,50,30.787734746932983,16
290287.34400833724,2,10,51,31.274049758911133,16
290287.34400833724,2,12,52,31.758131742477417,16
290287.34400833724,2,15,53,32.23221778869629,16
290287.34400833724,2,9,54,32.766820669174194,16
290287.34400833724,2,4,55,33.221235275268555,16
290287.34400833724,2,5,56,33.70566534996033,16
290287.34400833724,2,16,57,34.22883582115173,16
290287.34400833724,2,10,58,34.8477144241333,16
290287.34400833724,2,8,59,35.34181261062622,16
290287.34400833724,2,6,60,35.99566054344177,16
290287.34400833724,2,6,61,36.6144905090332,16
290287.34400833724,2,8,62,37.22512340545654,16
290287.34400833724,2,9,63,37.85667395591736,16
290287.34400833724,2,14,64,38.49635100364685,16
290287.34400833724,2,13,65,39.07860207557678,16
290287.34400833724,2,15,66,39.5310423374176,16
290287.34400833724,2,16,67,40.01537585258484,16
290287.34400833724,2,15,68,40.46108961105347,16
290287.34400833724,2,10,69,40.93854260444641,16
290287.34400833724,2,13,70,41.4245982170105,16
290287.34400833724,2,15,71,41.98827385902405,16
290287.34400833724,2,4,72,42.441248655319214,16
290287.34400833724,2,9,73,42.87827277183533,16
290287.34400833724,2,15,74,43.33289456367493,16
290287.34400833724,2,16,75,43.859778881073,16
290287.34400833724,2,15,76,44.283705949783325,16
290287.34400833724,2,5,77,44.859007835388184,16
290287.34400833724,2,11,78,45.317190170288086,16
290287.34400833724,2,11,79,45.82223415374756,16
290287.34400833724,2,13,80,46.27512216567993,16
290287.34400833724,2,16,81,46.732693672180176,16
290287.34400833724,2,9,82,47.19742012023926,16
290287.34400833724,2,10,83,47.751004695892334,16
