instant,Day.Of.Week,target
456,1,4132
457,2,5989
458,3,5331
459,4,5183
460,5,4769
461,6,3627
462,7,1857
463,1,2221
464,2,3335
465,3,2883
466,4,2353
467,5,1578
468,6,1017
469,7,1334
470,1,1690
471,2,2838
472,3,2815
473,4,2382
474,5,1587
475,6,1411
476,7,1838
477,1,2180
478,2,3587
479,3,3855
480,4,3840
481,5,3735
482,6,3223
483,7,2207
484,1,2814
485,2,4007
486,3,4119
487,4,4338
488,5,4432
489,6,3306
490,7,2223
491,1,2757
492,2,4047
493,3,4489
494,4,4588
495,5,4398
496,6,3340
497,7,2344
498,1,2973
499,2,4638
500,3,4791
501,4,5104
502,5,4621
503,6,3831
504,7,2295
505,1,3235
506,2,4918
507,3,5127
508,4,4794
509,5,4788
510,6,3948
511,7,2383
512,1,2950
513,2,4905
514,3,5353
515,4,5492
516,5,5052
517,6,3764
518,7,2458
519,1,3098
520,2,4951
521,3,5495
522,4,5505
523,5,5188
524,6,4002
525,7,2607
526,1,3906
527,2,6360
528,3,6046
529,4,5938
530,5,5325
531,6,4165
532,7,2829
533,1,4090
534,2,5734
535,3,6214
536,4,5906
537,5,5814
538,6,4507
539,7,2859
540,1,3897
541,2,5849
542,3,6264
543,4,6062
544,5,5685
545,6,4391
546,7,2880
547,1,3740
548,2,5710
549,3,5168
550,4,5577
551,5,5238
552,6,3931
553,7,2606
554,1,3149
555,2,5565
556,3,5281
557,4,5202
558,5,4581
559,6,3264
560,7,2344
561,1,3112
562,2,5051
563,3,5333
564,4,5671
565,5,5097
566,6,4555
567,7,2987
568,1,4257
569,2,5804
570,3,5885
571,4,6054
572,5,5791
573,6,4741
574,7,2946
575,1,4071
576,2,6265
577,3,6298
578,4,6495
579,5,5536
580,6,4737
581,7,3232
582,1,4201
583,2,6806
584,3,6769
585,4,6581
586,5,6254
587,6,5163
588,7,3851
589,1,4695
590,2,7098
591,3,7156
592,4,6836
593,5,6329
594,6,4990
595,7,3536
596,1,4366
597,2,6510
598,3,6855
599,4,6599
600,5,5510
601,6,4549
602,7,3064
603,1,3633
604,2,5838
605,3,6026
606,4,5780
607,5,5131
608,6,3928
609,7,2636
610,1,3278
611,2,4785
612,3,4886
613,4,5145
614,5,5849
615,6,4456
616,7,2960
617,1,3885
618,2,5857
619,3,6162
620,4,6014
621,5,5652
622,6,4793
623,7,2819
624,1,3687
625,2,4851
626,3,5775
627,4,5443
628,5,5590
629,6,4482
630,7,2792
631,1,3371
632,2,5547
633,3,5468
634,4,5104
635,5,4728
636,6,4024
637,7,2350
638,1,3234
639,2,4948
640,3,5247
641,4,5003
642,5,4816
643,6,4208
644,7,2454
645,1,2763
646,2,4954
647,3,4903
648,4,4907
649,5,4625
650,6,3497
651,7,1826
652,1,2307
653,2,4368
654,3,4233
655,4,4187
656,5,3811
657,6,3179
658,7,1615
659,1,1788
660,2,2959
661,3,3947
662,4,3841
663,5,3729
664,6,3324
665,7,1795
666,1,2373
667,2,4101
668,3,4241
669,4,4478
670,5,3961
671,6,3367
672,7,1828
673,1,2344
674,2,4415
675,3,4403
676,4,4244
677,5,4322
678,6,3456
679,7,2068
680,1,2568
681,2,4770
682,3,4621
683,4,4470
684,5,4307
685,6,3370
686,7,1960
687,1,2412
688,2,4504
689,3,4382
690,4,4710
691,5,4324
692,6,3472
693,7,1909
694,1,2365
695,2,4460
696,3,4479
697,4,4510
698,5,4340
699,6,3508
700,7,2030
701,1,2586
702,2,4476
703,3,3232
704,4,4291
705,5,4247
706,6,3477
707,7,2169
708,1,2430
709,2,4358
710,3,4465
711,4,4550
712,5,4147
713,6,3634
714,7,2014
715,1,2687
716,2,4376
717,3,4318
718,4,4441
719,5,4234
720,6,3027
721,7,1966
722,1,2446
723,2,3779
724,3,4619
725,4,4983
726,5,4645
727,6,3612
728,7,2153
729,1,3089
730,2,4580
731,3,4788
732,4,5095
733,5,4668
734,6,3711
735,7,2523
736,1,3364
737,2,5513
738,3,5362
739,4,5402
740,5,5398
741,6,3783
742,7,2395
743,1,3679
744,2,5688
745,3,5842
746,4,5923
747,5,5717
748,6,4250
749,7,2525
750,1,3923
751,2,5785
752,3,6052
753,4,6150
754,5,5591
755,6,4279
756,7,2897
757,1,3904
758,2,5458
759,3,5909
760,4,6175
761,5,5856
762,6,4610
763,7,3081
764,1,4390
765,2,6507
766,3,6941
767,4,6576
768,5,5985
769,6,4789
770,7,3263
771,1,4180
772,2,6371
773,3,6648
774,4,6501
775,5,6088
776,6,4376
777,7,2733
778,1,3953
779,2,6108
780,3,5668
781,4,6159
782,5,5810
783,6,4491
784,7,3110
785,1,4418
786,2,6529
787,3,5756
788,4,5716
789,5,5323
790,6,4280
791,7,2982
792,1,4365
793,2,6627
794,3,6467
795,4,6631
796,5,6378
797,6,4767
798,7,3501
799,1,4647
800,2,6336
801,3,6222
802,4,5527
803,5,4267
804,6,3733
805,7,3299
806,1,4530
807,2,6908
808,3,7714
809,4,7490
810,5,7190
811,6,5391
812,7,3575
813,1,5285
814,2,7330
815,3,7489
816,4,7345
817,5,6679
818,6,5403
819,7,3573
820,1,4834
821,2,6905
822,3,6743
823,4,6201
824,5,5571
825,6,3872
826,7,2613
827,1,3109
828,2,4324
829,3,4226
830,4,3991
831,5,3160
832,6,2386
833,7,1115
834,1,1387
835,2,2147
836,3,2686
837,4,2885
838,5,2694
839,6,2273
840,7,1188
841,1,1447
842,2,2568
843,3,3566
844,4,3941
845,5,3841
846,6,3261
847,7,2241
848,1,2679
849,2,4182
850,3,4236
851,4,4628
852,5,4205
853,6,3459
854,7,2448
855,1,2853
856,2,4638
857,3,5325
858,4,4866
859,5,4715
860,6,3753
861,7,2481
862,1,3233
863,2,5034
864,3,4787
865,4,4901
866,5,4398
867,6,3823
868,7,2619
869,1,3518
870,2,5178
871,3,5290
872,4,5469
873,5,5399
874,6,4232
875,7,2828
876,1,3724
877,2,5733
878,3,5814
879,4,5349
880,5,5025
881,6,4044
882,7,2323
883,1,3147
884,2,4972
885,3,4878
886,4,5288
887,5,4968
888,6,3788
889,7,2514
890,1,3463
891,2,4931
892,3,5101
893,4,5144
894,5,4433
895,6,3597
896,7,2621
897,1,3397
898,2,5062
899,3,4926
900,4,4936
901,5,4688
902,6,3827
903,7,2452
904,1,3283
905,2,4823
906,3,4821
907,4,5059
908,5,4585
909,6,3682
910,7,2350
911,1,3056
912,2,4746
913,3,4613
914,4,4560
915,5,4520
916,6,3346
917,7,2253
918,1,2927
919,2,4878
920,3,4852
921,4,4585
922,5,4477
923,6,3654
924,7,2411
925,1,3054
926,2,4696
927,3,5033
928,4,4948
929,5,4636
930,6,3539
931,7,2371
932,1,2816
933,2,4493
934,3,4678
935,4,4737
936,5,4775
937,6,3658
938,7,2260
939,1,3343
940,2,4640
941,3,4694
942,4,4771
943,5,4173
944,6,3046
945,7,2260
946,1,2876
947,2,4774
948,3,5009
949,4,5369
950,5,5020
951,6,3935
952,7,2795
953,1,3795
954,2,5489
955,3,5680
956,4,5383
957,5,4890
958,6,3872
959,7,2790
960,1,3524
961,2,4903
962,3,5160
963,4,5194
964,5,5142
965,6,3836
966,7,2737
967,1,3386
968,2,4816
969,3,4734
970,4,4761
971,5,4277
972,6,3563
973,7,2401
974,1,2877
975,2,4448
976,3,4525
977,4,4533
978,5,4431
979,6,3456
980,7,2162
981,1,2786
982,2,4172
983,3,4255
984,4,4154
985,5,3803
986,6,2950
987,7,1909
988,1,2506
989,2,3325
990,3,4086
991,4,3716
992,5,3702
993,6,2959
994,7,2006
995,1,2479
996,2,3501
997,3,3985
998,4,3920
999,5,3868
1000,6,2921
1001,7,1655
1002,1,2229
1003,2,3660
1004,3,3898
1005,4,3912
1006,5,3604
1007,6,2970
1008,7,1546
1009,1,1944
1010,2,3608
1011,3,3514
1012,4,3344
1013,5,3292
1014,6,2469
1015,7,1296
1016,1,1546
1017,2,2948
1018,3,3077
1019,4,3028
1020,5,2738
1021,6,2147
1022,7,1277
1023,1,1606
1024,2,2504
1025,3,2218
1026,4,3024
1027,5,2951
1028,6,2401
1029,7,1242
1030,1,1511
1031,2,2934
1032,3,3003
1033,4,3073
1034,5,2933
1035,6,2468
1036,7,1355
1037,1,1553
1038,2,2902
1039,3,2899
1040,4,2986
1041,5,2964
1042,6,2433
1043,7,1280
1044,1,1603
1045,2,3154
1046,3,3084
1047,4,2983
1048,5,2849
1049,6,2420
1050,7,1300
1051,1,1526
1052,2,2872
1053,3,2914
1054,4,2843
1055,5,2649
1056,6,2042
1057,7,1225
1058,1,1562
1059,2,2751
1060,3,2634
1061,4,2704
1062,5,2670
1063,6,2073
1064,7,1240
1065,1,1530
1066,2,2392
1067,3,2675
1068,4,2755
1069,5,2608
1070,6,2163
1071,7,1304
1072,1,1969
1073,2,2985
1074,3,3087
1075,4,3047
1076,5,2961
1077,6,2293
1078,7,1261
1079,1,1676
1080,2,1786
1081,3,3252
1082,4,3082
1083,5,2721
1084,6,2217
1085,7,1271
1086,1,1742
1087,2,2293
1088,3,3155
1089,4,3159
1090,5,3054
1091,6,2440
1092,7,1532
1093,1,2247
1094,2,3570
1095,3,3524
1096,4,3471
1097,5,3303
1098,6,2560
1099,7,1470
1100,1,2234
1101,2,3504
1102,3,3984
1103,4,3746
1104,5,3524
1105,6,2639
1106,7,1523
1107,1,2425
1108,2,3671
1109,3,3669
1110,4,3537
1111,5,3413
1112,6,2699
1113,7,1829
1114,1,2379
1115,2,3637
1116,3,3775
1117,4,3572
1118,5,3605
1119,6,2774
1120,7,1780
1121,1,2469
1122,2,3881
1123,3,3767
1124,4,4082
1125,5,4047
1126,6,2877
1127,7,2073
1128,1,2759
1129,2,3817
1130,3,3949
1131,4,3867
1132,5,3621
1133,6,2978
1134,7,1992
1135,1,2851
1136,2,4390
1137,3,3886
1138,4,3424
1139,5,4207
1140,6,3345
1141,7,2128
1142,1,2205
1143,2,4091
1144,3,4223
1145,4,4361
1146,5,4263
1147,6,3341
1148,7,2278
1149,1,3097
1150,2,4185
1151,3,4477
1152,4,4354
1153,5,4194
1154,6,3240
1155,7,2424
1156,1,3168
1157,2,4709
1158,3,4634
1159,4,4545
1160,5,4532
1161,6,3317
1162,7,2449
1163,1,2893
1164,2,4170
1165,3,4277
1166,4,3588
1167,5,3141
1168,6,2658
1169,7,2391
1170,1,3202
1171,2,4349
1172,3,4886
1173,4,4555
1174,5,4477
1175,6,3577
1176,7,2430
1177,1,3449
1178,2,4955
1179,3,4475
1180,4,4595
1181,5,4451
1182,6,3418
1183,7,2605
1184,1,3483
1185,2,4651
1186,3,4029
1187,4,4282
1188,5,4138
1189,6,4130
1190,7,2581
1191,1,3355
1192,2,4482
1193,3,4584
1194,4,4106
1195,5,3378
1196,6,2446
1197,7,1447
1198,1,1326
1199,2,1609
1200,3,2481
1201,4,2798
1202,5,2809
1203,6,2216
1204,7,1546
1205,1,1339
1206,2,1709
1207,3,3389
1208,4,3391
1209,5,3698
1210,6,3511
1211,7,2279
1212,1,2822
1213,2,4240
1214,3,4319
1215,4,4224
1216,5,3797
1217,6,3190
1218,7,1998
1219,1,2515
1220,2,3950
1221,3,4033
1222,4,4269
1223,5,4124
1224,6,3228
1225,7,2287
1226,1,2946
1227,2,4608
1228,3,4786
1229,4,4724
1230,5,4417
1231,6,3580
1232,7,2345
1233,1,3170
1234,2,4862
1235,3,4600
1236,4,4705
1237,5,4723
1238,6,3969
1239,7,2994
1240,1,3162
1241,2,4949
1242,3,5092
1243,4,4767
1244,5,4625
1245,6,3738
1246,7,2739
1247,1,3923
1248,2,5341
1249,3,5114
1250,4,4896
1251,5,4502
1252,6,3729
1253,7,2388
1254,1,3405
1255,2,5176
1256,3,5429
1257,4,5120
1258,5,4993
1259,6,4148
1260,7,2763
1261,1,3599
1262,2,5542
1263,3,5378
1264,4,5536
1265,5,4984
1266,6,4130
1267,7,2818
1268,1,3978
1269,2,5502
1270,3,5740
1271,4,5635
1272,5,5375
1273,6,4273
1274,7,3223
1275,1,3956
1276,2,5895
1277,3,6152
1278,4,5906
1279,5,6300
1280,6,4915
1281,7,3218
1282,1,4429
1283,2,5739
1284,3,6220
