instant,Day.Of.Week,target
1868,6,4159
1869,7,2732
1870,1,3901
1871,2,5749
1872,3,5821
1873,4,5647
1874,5,5219
1875,6,4054
1876,7,2815
1877,1,4253
1878,2,5816
1879,3,5843
1880,4,6058
1881,5,6291
1882,6,4604
1883,7,3354
1884,1,4190
1885,2,5931
1886,3,6443
1887,4,5805
1888,5,5753
1889,6,4709
1890,7,3418
1891,1,4821
1892,2,6444
1893,3,6607
1894,4,6726
1895,5,6334
1896,6,4575
1897,7,3414
1898,1,4535
1899,2,5970
1900,3,5630
1901,4,5384
1902,5,4201
1903,6,3799
1904,7,3301
1905,1,4420
1906,2,6384
1907,3,6964
1908,4,6957
1909,5,6350
1910,6,5324
1911,7,3795
1912,1,5013
1913,2,7005
1914,3,6606
1915,4,6686
1916,5,6163
1917,6,4581
1918,7,2930
1919,1,3585
1920,2,4925
1921,3,4743
1922,4,4716
1923,5,3793
1924,6,2688
1925,7,1682
1926,1,1880
1927,2,2451
1928,3,1644
1929,4,1483
1930,5,1864
1931,6,1927
1932,7,1679
1933,1,1962
1934,2,2469
1935,3,1750
1936,4,1554
1937,5,2820
1938,6,2970
1939,7,2111
1940,1,2393
1941,2,3704
1942,3,3760
1943,4,3698
1944,5,4243
1945,6,3177
1946,7,2361
1947,1,2762
1948,2,4298
1949,3,3838
1950,4,3754
1951,5,3817
1952,6,3175
1953,7,2336
1954,1,2597
1955,2,3715
1956,3,4459
1957,4,4483
1958,5,4225
1959,6,3111
1960,7,2353
1961,1,3198
1962,2,4432
1963,3,4664
1964,4,4471
1965,5,4486
1966,6,3527
1967,7,2514
1968,1,2993
1969,2,4728
1970,3,4883
1971,4,5071
1972,5,4638
1973,6,3757
1974,7,2761
1975,1,3423
1976,2,5066
1977,3,4928
1978,4,4996
1979,5,5004
1980,6,3675
1981,7,2556
1982,1,3732
1983,2,4958
1984,3,4869
1985,4,5224
1986,5,4890
1987,6,3678
1988,7,2456
1989,1,3444
1990,2,5000
1991,3,5496
1992,4,5059
1993,5,4813
1994,6,3810
1995,7,2682
1996,1,3332
1997,2,4872
1998,3,5097
1999,4,4714
2000,5,5048
2001,6,3698
2002,7,2670
2003,1,3416
2004,2,4731
2005,3,4820
2006,4,4813
2007,5,4393
2008,6,3316
2009,7,2416
2010,1,2934
2011,2,2732
2012,3,3805
2013,4,3748
2014,5,3678
2015,6,3322
2016,7,2701
2017,1,3263
2018,2,4105
2019,3,4156
2020,4,4153
2021,5,4256
2022,6,3818
2023,7,3045
2024,1,4079
2025,2,4899
2026,3,4943
2027,4,4907
2028,5,4933
2029,6,4665
2030,7,3366
2031,1,3976
2032,2,4981
2033,3,5331
2034,4,5331
2035,5,5063
2036,6,4252
2037,7,3656
2038,1,4152
2039,2,5089
2040,3,5491
2041,4,5665
2042,5,5423
2043,6,4688
2044,7,4055
2045,1,4830
2046,2,5908
2047,3,5633
2048,4,5786
2049,5,5967
2050,6,4937
2051,7,4327
2052,1,5086
2053,2,6038
2054,3,6324
2055,4,6062
2056,5,5520
2057,6,4670
2058,7,4171
2059,1,4716
2060,2,5939
2061,3,6361
2062,4,6659
2063,5,6264
2064,6,5359
2065,7,4593
2066,1,5092
2067,2,6563
2068,3,6124
2069,4,5817
2070,5,6057
2071,6,4958
2072,7,3651
2073,1,4248
2074,2,5624
2075,3,5595
2076,4,5213
2077,5,5156
2078,6,4350
2079,7,3446
2080,1,3945
2081,2,4639
2082,3,5224
2083,4,5242
2084,5,4939
2085,6,4387
2086,7,3327
2087,1,3692
2088,2,4734
2089,3,4727
2090,4,4994
2091,5,4767
2092,6,4124
2093,7,3230
2094,1,3906
2095,2,4895
2096,3,4871
2097,4,4989
2098,5,4633
2099,6,4475
2100,7,2967
2101,1,3507
2102,2,4337
2103,3,4470
2104,4,4439
2105,5,4895
2106,6,3924
2107,7,2827
2108,1,3481
2109,2,4627
2110,3,4561
2111,4,4626
2112,5,4137
2113,6,3555
2114,7,2671
2115,1,3486
2116,2,4000
2117,3,3828
2118,4,3935
2119,5,3633
2120,6,2997
2121,7,2194
2122,1,2948
2123,2,4049
2124,3,3792
2125,4,4029
2126,5,3945
2127,6,3523
2128,7,2646
2129,1,3454
2130,2,3703
2131,3,3680
2132,4,3479
2133,5,3756
2134,6,3289
2135,7,2416
2136,1,2793
2137,2,3749
2138,3,3786
2139,4,4002
2140,5,3823
2141,6,3430
2142,7,2400
2143,1,2835
2144,2,4001
2145,3,3795
2146,4,3903
2147,5,3397
2148,6,3005
2149,7,2305
2150,1,2696
2151,2,3866
2152,3,3826
2153,4,3673
2154,5,3660
2155,6,3136
2156,7,2223
2157,1,2623
2158,2,3638
2159,3,3740
2160,4,3767
2161,5,3621
2162,6,2971
2163,7,2221
2164,1,2724
2165,2,3456
2166,3,3581
2167,4,2064
