fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
0.9549058522665561,2,13,1,0.4304080009460449,19
0.9550532998201814,2,15,2,0.8567707538604736,19
0.9612903225806452,2,16,3,1.2858374118804932,19
0.9550532998201814,2,13,4,1.714045524597168,19
0.9550532998201814,2,13,5,2.1348211765289307,19
0.9550532998201814,2,15,6,2.706387996673584,19
0.9550532998201814,2,16,7,3.1366167068481445,19
0.9549058522665561,2,12,8,3.561331272125244,19
0.9487242573355203,2,13,9,3.979923725128174,19
0.9550532998201814,2,13,10,4.3978111743927,19
0.9614091680814941,2,16,11,4.819090127944946,19
0.9487242573355203,2,12,12,5.414411306381226,19
0.9614091680814941,2,15,13,5.845675945281982,19
0.9485455574419922,2,12,14,6.277500867843628,19
0.9487242573355203,2,15,15,6.698925733566284,19
0.9550532998201814,2,12,16,7.115007400512695,19
0.9550532998201814,2,14,17,7.540320158004761,19
0.9550532998201814,2,12,18,8.12535285949707,19
0.9549058522665561,2,13,19,8.551019668579102,19
0.9547758793095953,2,13,20,8.973158597946167,19
0.9550532998201814,2,15,21,9.388660430908203,19
0.9549058522665561,2,10,22,9.809687614440918,19
0.9549058522665561,2,9,23,10.23404598236084,19
0.9550532998201814,2,15,24,10.820743322372437,19
0.9614091680814941,2,16,25,11.24839735031128,19
0.9487242573355203,2,14,26,11.664783716201782,19
0.9549058522665561,2,12,27,12.093585014343262,19
0.9550532998201814,2,16,28,12.516383409500122,19
0.9487242573355203,2,14,29,12.943557739257812,19
0.9550532998201814,2,15,30,13.537948846817017,19
0.9487242573355203,2,16,31,13.971899271011353,19
0.9549058522665561,2,16,32,14.400590419769287,19
0.9550532998201814,2,12,33,14.818411827087402,19
0.9614091680814941,2,16,34,15.255926847457886,19
0.9547758793095953,2,14,35,15.678369998931885,19
0.9549058522665561,2,15,36,16.26987624168396,19
0.9612903225806452,2,14,37,16.69976806640625,19
0.9550532998201814,2,10,38,17.121609687805176,19
0.9614091680814941,2,15,39,17.546358346939087,19
0.9483870967741935,2,12,40,17.97137188911438,19
0.9614091680814941,2,16,41,18.397228479385376,19
0.9550532998201814,2,15,42,18.98336935043335,19
0.9487242573355203,2,16,43,19.413494110107422,19
0.9487242573355203,2,16,44,19.837692260742188,19
