instant,Day.Of.Week,Month,Day,Month/Day,Returning.Visits,target
1970,3,2,4,204,510,4883
1240,1,2,4,204,375,3162
1605,2,2,4,204,621,5366
144,4,2,4,204,477,5016
509,5,2,4,204,572,4788
875,7,2,4,204,387,2828
510,6,2,5,205,471,3948
876,1,2,5,205,502,3724
145,5,2,5,205,417,4489
1606,3,2,5,205,633,5427
1971,4,2,5,205,533,5071
1241,2,2,5,205,552,4949
1607,4,2,6,206,629,5667
877,2,2,6,206,801,5733
511,7,2,6,206,288,2383
1242,3,2,6,206,627,5092
146,6,2,6,206,393,3505
1972,5,2,6,206,498,4638
1243,4,2,7,207,590,4767
147,7,2,7,207,242,2264
1973,6,2,7,207,430,3757
878,3,2,7,207,763,5814
512,1,2,7,207,392,2950
1608,5,2,7,207,694,5517
879,4,2,8,208,758,5349
148,1,2,8,208,335,3314
513,2,2,8,208,568,4905
1609,6,2,8,208,514,4420
1244,5,2,8,208,576,4625
1974,7,2,8,208,303,2761
514,3,2,9,209,632,5353
1610,7,2,9,209,363,3150
1245,6,2,9,209,462,3738
1975,1,2,9,209,351,3423
149,2,2,9,209,494,5095
880,5,2,9,209,671,5025
515,4,2,10,210,649,5492
1976,2,2,10,210,552,5066
1246,7,2,10,210,316,2739
881,6,2,10,210,587,4044
150,3,2,10,210,521,5525
1611,1,2,10,210,492,4264
882,7,2,11,211,354,2323
516,5,2,11,211,609,5052
151,4,2,11,211,499,5074
1612,2,2,11,211,710,6569
1247,1,2,11,211,399,3923
1977,3,2,11,211,546,4928
517,6,2,12,212,507,3764
1978,4,2,12,212,522,4996
152,5,2,12,212,509,4571
1613,3,2,12,212,701,6145
1248,2,2,12,212,642,5341
883,1,2,12,212,464,3147
1614,4,2,13,213,696,5743
518,7,2,13,213,329,2458
153,6,2,13,213,411,3570
1249,3,2,13,213,624,5114
1979,5,2,13,213,635,5004
884,2,2,13,213,705,4972
1615,5,2,14,214,687,5512
1250,4,2,14,214,646,4896
154,7,2,14,214,242,2182
1980,6,2,14,214,420,3675
519,1,2,14,214,411,3098
885,3,2,14,214,685,4878
886,4,2,15,215,747,5288
520,2,2,15,215,613,4951
155,1,2,15,215,342,3265
1251,5,2,15,215,543,4502
1981,7,2,15,215,267,2556
1616,6,2,15,215,575,4127
1982,1,2,16,216,447,3732
887,5,2,16,216,734,4968
1252,6,2,16,216,506,3729
156,2,2,16,216,471,4670
1617,7,2,16,216,386,3309
521,3,2,16,216,696,5495
522,4,2,17,217,687,5505
888,6,2,17,217,590,3788
1253,7,2,17,217,299,2388
157,3,2,17,217,495,4764
1618,1,2,17,217,452,3761
1983,2,2,17,217,569,4958
1254,1,2,18,218,386,3405
889,7,2,18,218,343,2514
1619,2,2,18,218,686,5592
158,4,2,18,218,500,4943
523,5,2,18,218,656,5188
1984,3,2,18,218,533,4869
1985,4,2,19,219,547,5224
1620,3,2,19,219,747,6100
159,5,2,19,219,496,4790
1255,2,2,19,219,649,5176
524,6,2,19,219,555,4002
890,1,2,19,219,519,3463
1986,5,2,20,220,536,4890
891,2,2,20,220,691,4931
1621,4,2,20,220,722,6208
160,6,2,20,220,380,3604
1256,3,2,20,220,619,5429
525,7,2,20,220,351,2607
161,7,2,21,221,254,2455
1257,4,2,21,221,579,5120
1622,5,2,21,221,719,5730
1987,6,2,21,221,386,3678
526,1,2,21,221,483,3906
892,3,2,21,221,794,5101
1258,5,2,22,222,605,4993
1623,6,2,22,222,565,4372
162,1,2,22,222,361,3650
1988,7,2,22,222,266,2456
527,2,2,22,222,748,6360
893,4,2,22,222,729,5144
1624,7,2,23,223,388,3378
1989,1,2,23,223,321,3444
163,2,2,23,223,542,5463
528,3,2,23,223,746,6046
894,5,2,23,223,715,4433
1259,6,2,23,223,530,4148
895,6,2,24,224,537,3597
1260,7,2,24,224,333,2763
1990,2,2,24,224,584,5000
1625,1,2,24,224,488,4367
164,3,2,24,224,570,5884
529,4,2,24,224,810,5938
896,7,2,25,225,344,2621
530,5,2,25,225,693,5325
165,4,2,25,225,587,5615
1626,2,2,25,225,746,6318
1261,1,2,25,225,435,3599
