fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
413680.58731660614,10,1442,1,31.159485816955566,22,498391.36164557573
413680.58731660614,10,1442,2,82.58607864379883,22,498391.36164557573
395702.25181482587,10,1661,3,153.67108416557312,22,499358.7621662621
394523.26469428133,10,1622,4,243.43895292282104,22,570092.1989893076
394523.26469428133,10,1622,5,350.72390484809875,22,570092.1989893076
372662.81690142344,10,1372,6,477.7096049785614,22,511829.32638265134
372662.81690142344,10,1372,7,622.2686703205109,22,511829.32638265134
369826.34709946654,10,1661,8,783.9666600227356,22,485934.29037474364
369663.3752598233,10,1907,9,962.9857988357544,22,457946.1640535319
356082.56604665343,10,1372,10,1156.5860221385956,22,511829.32638265134
356082.56604665343,10,1372,11,1364.7979323863983,22,511829.32638265134
356082.56604665343,10,1372,12,1591.497703075409,22,511829.32638265134
353246.0962446965,10,1849,13,1836.339340209961,22,508481.4363674577
350052.94911434076,10,1664,14,2098.3519563674927,22,507375.77479988907
350052.94911434076,10,1664,15,2377.5701897144318,22,505059.11554930365
350052.94911434076,10,1664,16,2673.955712080002,22,505059.11554930365
344848.6346021509,10,1998,17,2987.6011674404144,22,507125.8263871907
344848.6346021509,10,1998,18,3318.447611808777,22,507125.8263871907
344848.6346021509,10,1998,19,3666.2458295822144,22,507125.8263871907
344848.6346021509,10,1998,20,4031.6642212867737,22,507125.8263871907
344848.6346021509,10,1998,21,4415.536118507385,22,507125.8263871907
344848.6346021509,10,1998,22,4818.167957544327,22,507125.8263871907
342293.01608332933,10,1998,23,5239.272344350815,22,442732.6817266286
342293.01608332933,10,1998,24,5679.052684545517,22,442732.6817266286
342293.01608332933,10,1998,25,6137.402571439743,22,442974.064465808
341065.5686217254,10,1900,26,6614.754548549652,22,446005.1422184318
340447.7587943667,10,1992,27,7111.185058355331,22,474089.049716791
340205.97869252996,10,2034,28,7626.81076669693,22,448321.80146901734
340205.97869252996,10,2034,29,8162.323673009872,22,448321.80146901734
339891.1723094387,10,1900,30,8717.736383199692,22,329356.57470416976
339086.7714860984,10,1900,31,9293.508056163788,22,443760.0888839834
338341.6755081222,10,2138,32,9889.996984958649,22,448321.80146901734
338208.1356614577,10,2152,33,10506.920524597168,22,443760.0888839834
338045.9150204761,10,1967,34,11143.926850318909,22,329356.57470416976
337912.3751738117,10,2226,35,11800.879857063293,22,330587.53096582694
337052.7852446161,10,1862,36,12478.286224842072,22,330587.53096582694
334026.0412829808,10,1865,37,13175.331598997116,22,342521.47092307266
326407.8714774897,10,1967,38,13891.91268992424,22,373884.3940414474
326407.8714774897,10,1967,39,14627.720383882523,22,380190.3778175377
326407.8714774897,10,1967,40,15382.909909009933,22,563668.942896175
326407.8714774897,10,1967,41,16157.778106451035,22,563668.942896175
321454.7089771023,10,2140,42,16951.275939702988,22,336394.95786686655
320641.0239567462,10,2062,43,17762.45310974121,22,336394.95786686655
320641.0239567462,10,2062,44,18591.567712545395,22,336394.95786686655
320641.0239567462,10,2062,45,19439.57156085968,22,336394.95786686655
320641.0239567462,10,2062,46,20307.72074532509,22,336394.95786686655
320641.0239567462,10,2062,47,21196.76074075699,22,336394.95786686655
320641.0239567462,10,2062,48,22106.550426244736,22,336394.95786686655
320641.0239567462,10,2062,49,23036.44375181198,22,336394.95786686655
320641.0239567462,10,2062,50,23986.720157146454,22,336394.95786686655
320641.0239567462,10,2062,51,24957.16569495201,22,336394.95786686655
320008.1564349248,10,1935,52,25948.240327119827,22,353178.74255603005
320008.1564349248,10,1935,53,26959.696199655533,22,353178.74255603005
320008.1564349248,10,1935,54,27991.529198884964,22,342848.69643849187
320008.1564349248,10,1935,55,29043.592176437378,22,342848.69643849187
320008.1564349248,10,1935,56,30116.2546710968,22,411092.66103347647
320008.1564349248,10,1935,57,31209.314791679382,22,411092.66103347647
319973.5713613221,10,2070,58,32323.205550432205,22,319789.5136732598
319973.5713613221,10,2070,59,33457.805274009705,22,319789.5136732598
319340.7038395008,10,2048,60,34613.55888366699,22,348285.95190736366
319340.7038395008,10,2048,61,35790.30757832527,22,319789.5136732598
319340.7038395008,10,2048,62,36988.25314640999,22,319789.5136732598
319340.7038395008,10,2048,63,38206.975809812546,22,319789.5136732598
319340.7038395008,10,2048,64,39446.10272812843,22,319789.5136732598
319340.7038395008,10,2048,65,40705.70987486839,22,319789.5136732598
319340.7038395008,10,2048,66,41985.552716732025,22,319789.5136732598
319340.7038395008,10,2048,67,43285.788653850555,22,319789.5136732598
317887.2625830385,10,2048,68,44606.19141626358,22,382323.30654906854
317887.2625830385,10,2048,69,45947.12590432167,22,383641.8572182309
317887.2625830385,10,2048,70,47308.44523692131,22,383641.8572182309
317887.2625830385,10,2048,71,48689.8279774189,22,383641.8572182309
317887.2625830385,10,2048,72,50092.048132658005,22,385785.58785146783
317887.2625830385,10,2048,73,51514.39032244682,22,385785.58785146783
317887.2625830385,10,2048,74,52956.77774119377,22,403522.86954525975
317887.2625830385,10,2048,75,54419.80868387222,22,403522.86954525975
317887.2625830385,10,2048,76,55902.80331158638,22,388185.08928993426
317022.850842256,10,2048,77,57405.980070114136,22,345482.9859068664
317022.850842256,10,2048,78,58929.452246427536,22,355972.9589472408
317022.850842256,10,2048,79,60473.02784824371,22,355972.9589472408
317022.850842256,10,2048,80,62036.38852930069,22,331694.47410013585
317022.850842256,10,2048,81,63620.11153483391,22,341369.0934862295
317022.850842256,10,2048,82,65224.008654117584,22,379520.7776163828
317022.850842256,10,2048,83,66848.04414653778,22,388258.96180160774
317022.850842256,10,2048,84,68492.33430504799,22,388258.96180160774
317022.850842256,10,2048,85,70156.55723142624,22,388258.96180160774
317022.850842256,10,2048,86,71840.97905135155,22,388258.96180160774
317022.850842256,10,2048,87,73545.25380182266,22,388258.96180160774
317022.850842256,10,2048,88,75269.8578054905,22,388617.5016752594
317022.850842256,10,2048,89,77014.36611914635,22,428218.4897933855
317022.850842256,10,2048,90,78779.15963149071,22,423614.6302122107
317022.850842256,10,2048,91,80564.13982248306,22,424128.01270517317
317022.850842256,10,2048,92,82369.63131117821,22,432784.45060189714
317022.850842256,10,2048,93,84195.19203615189,22,432784.45060189714
317022.850842256,10,2048,94,86041.04044008255,22,432784.45060189714
317022.850842256,10,2048,95,87906.99016308784,22,432784.45060189714
317022.850842256,10,2048,96,89793.10461044312,22,404667.76981589507
317022.850842256,10,2048,97,91699.27928590775,22,404667.76981589507
317022.850842256,10,2048,98,93625.70398259163,22,369697.03641237685
317022.850842256,10,2048,99,95572.64228224754,22,369697.03641237685
317022.850842256,10,2048,100,97540.09750175476,22,436059.89012343145
317022.850842256,10,2048,101,99527.54493951797,22,436059.89012343145
317022.850842256,10,2048,102,101535.1921954155,22,436059.89012343145
317022.850842256,10,2048,103,103563.42642760277,22,436059.89012343145
317022.850842256,10,2048,104,105611.63053011894,22,517339.6348309401
317022.850842256,10,2048,105,107680.14628839493,22,517339.6348309401
317022.850842256,10,2048,106,109769.18423557281,22,517339.6348309401
317022.850842256,10,2048,107,111879.11419653893,22,517339.6348309401
317022.850842256,10,2048,108,114010.4148170948,22,517339.6348309401
317022.850842256,10,2048,109,116163.88613915443,22,517339.6348309401
317022.850842256,10,2048,110,118339.96855139732,22,517339.6348309401
317022.850842256,10,2048,111,120538.65367031097,22,517339.6348309401
317022.850842256,10,2048,112,122760.03451418877,22,517339.6348309401
316096.2917666007,10,2400,113,125003.95647072792,22,397928.9049897476
316096.2917666007,10,2400,114,127270.50014400482,22,419245.92102515575
316096.2917666007,10,2400,115,129559.89347147942,22,419245.92102515575
316096.2917666007,10,2400,116,131871.99627876282,22,446071.95811914804
316096.2917666007,10,2400,117,134206.93547677994,22,446071.95811914804
316096.2917666007,10,2400,118,136564.41014361382,22,446071.95811914804
316096.2917666007,10,2400,119,138943.89628481865,22,503485.9896194162
316096.2917666007,10,2400,120,141338.49174809456,22,496410.46275238524
316096.2917666007,10,2400,121,143748.06840753555,22,500182.3066873394
316096.2917666007,10,2400,122,146172.60346388817,22,500182.3066873394
316096.2917666007,10,2400,123,148614.79625678062,22,501279.4671088851
316096.2917666007,10,2400,124,151079.42291021347,22,554998.186836192
316096.2917666007,10,2400,125,153566.89991998672,22,554998.186836192
316096.2917666007,10,2400,126,156076.94443154335,22,556688.890843478
316096.2917666007,10,2400,127,158609.69018435478,22,556688.890843478
316096.2917666007,10,2400,128,161164.82962346077,22,556688.890843478
316096.2917666007,10,2400,129,163742.52917099,22,556688.890843478
316096.2917666007,10,2400,130,166343.2083723545,22,489529.577061736
316096.2917666007,10,2400,131,168966.57142806053,22,489529.577061736
316096.2917666007,10,2400,132,171612.1609401703,22,487263.71868286544
316096.2917666007,10,2400,133,174280.54068541527,22,487263.71868286544
316096.2917666007,10,2400,134,176967.15125513077,22,557359.9973443678
315635.59760061215,10,2400,135,179668.7059726715,22,409830.4442922911
315635.59760061215,10,2400,136,182385.1411166191,22,409830.4442922911
315635.59760061215,10,2400,137,185116.6308043003,22,409830.4442922911
315635.59760061215,10,2400,138,187863.53219652176,22,409830.4442922911
315635.59760061215,10,2400,139,190626.11668801308,22,427692.8525947619
315635.59760061215,10,2400,140,193404.68400144577,22,427692.8525947619
315635.59760061215,10,2400,141,196198.83851981163,22,427692.8525947619
315635.59760061215,10,2400,142,199008.51689600945,22,427692.8525947619
315635.59760061215,10,2400,143,201833.8242878914,22,427692.8525947619
315635.59760061215,10,2400,144,204674.85939908028,22,427692.8525947619
315635.59760061215,10,2400,145,207531.45586061478,22,427844.0380232156
315635.59760061215,10,2400,146,210403.72727704048,22,439954.1288580161
315635.59760061215,10,2400,147,213291.5207672119,22,439954.1288580161
315635.59760061215,10,2400,148,216194.82724022865,22,439954.1288580161
315635.59760061215,10,2400,149,219113.49617385864,22,439954.1288580161
315635.59760061215,10,2400,150,222047.85169267654,22,439954.1288580161
315635.59760061215,10,2400,151,224997.60148501396,22,439954.1288580161
315635.59760061215,10,2400,152,227962.75979471207,22,439954.1288580161
315635.59760061215,10,2400,153,230943.41008090973,22,439954.1288580161
315248.69697818643,10,2356,154,233939.93272137642,22,402814.8673487061
315248.69697818643,10,2356,155,236952.1630012989,22,438382.9307229692
315248.69697818643,10,2356,156,239980.00087714195,22,445414.4224246406
315248.69697818643,10,2356,157,243023.4953610897,22,445414.4224246406
315248.69697818643,10,2356,158,246082.93544864655,22,464655.59394116554
315248.69697818643,10,2356,159,249158.15502023697,22,476037.1731761382
315248.69697818643,10,2356,160,252249.4119603634,22,475462.01880455343
315248.69697818643,10,2356,161,255356.4769630432,22,623313.599585757
315248.69697818643,10,2356,162,258479.62315011024,22,623313.599585757
315248.69697818643,10,2356,163,261618.88994455338,22,623313.599585757
