fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
391859.93076695595,10,2778,1,31.80021023750305,13,443203.4587359806
377380.79573159484,10,2882,2,84.02107954025269,13,408975.3752215903
377380.79573159484,10,2882,3,156.35772061347961,13,486685.07917880424
376531.4607502528,10,2567,4,251.3291530609131,13,403178.4203339247
376531.4607502528,10,2567,5,374.29828238487244,13,403178.4203339247
373677.2690731768,10,2808,6,527.7936704158783,13,332167.4651713025
363765.06611197285,10,2567,7,711.6788456439972,13,350643.4389131596
363765.06611197285,10,2567,8,925.7785348892212,13,404523.09013627
359582.24740949157,10,2567,9,1169.9158177375793,13,401893.3476839274
348603.5840438954,10,2643,10,1444.0735139846802,13,342902.7285393197
347120.4993586133,10,2900,11,1749.9121372699738,13,342727.6054136935
347120.4993586133,10,2900,12,2086.3146760463715,13,356240.43669976
342109.61299961765,10,2706,13,2453.859341621399,13,403203.9097620833
342109.61299961765,10,2706,14,2852.949095249176,13,325624.52901787305
342109.61299961765,10,2706,15,3284.169796705246,13,357575.0409022261
342109.61299961765,10,2706,16,3747.262820959091,13,414164.90458629554
342109.61299961765,10,2706,17,4241.797373056412,13,414164.90458629554
340123.34645124327,10,2706,18,4767.433179140091,13,403203.9097620833
338782.9714255697,10,2706,19,5324.289476156235,13,415325.74671238253
338362.4514867492,10,2706,20,5911.582922458649,13,400480.36989185784
338362.4514867492,10,2706,21,6529.17912364006,13,400480.36989185784
338362.4514867492,10,2706,22,7176.992695093155,13,435027.7252381538
338362.4514867492,10,2706,23,7853.694908618927,13,435027.7252381538
337995.6476483925,10,2522,24,8558.783481836319,13,401759.25050465006
335607.18235013826,10,2558,25,9291.342051744461,13,400480.36989185784
335607.18235013826,10,2558,26,10051.636760950089,13,400480.36989185784
335607.18235013826,10,2558,27,10839.626115322113,13,400480.36989185784
335607.18235013826,10,2558,28,11655.264935016632,13,400480.36989185784
335100.1484751366,10,2474,29,12497.247206926346,13,400480.36989185784
335100.1484751366,10,2474,30,13362.94253706932,13,400480.36989185784
335100.1484751366,10,2474,31,14252.958523511887,13,400480.36989185784
334416.3647587546,10,2136,32,15167.237818479538,13,416275.6764368817
334416.3647587546,10,2136,33,16107.094499349594,13,416275.6764368817
333461.86456243834,10,2538,34,17072.44710946083,13,400935.75050465006
333461.86456243834,10,2538,35,18063.836728811264,13,401855.07542767545
333461.86456243834,10,2538,36,19081.135612487793,13,401855.07542767545
331993.3243943818,10,2436,37,20124.332644701004,13,417760.54585944605
331993.3243943818,10,2436,38,21192.845426797867,13,376966.3976385858
331993.3243943818,10,2436,39,22286.174310684204,13,379876.1786690307
331993.3243943818,10,2436,40,23404.863249778748,13,379876.1786690307
331993.3243943818,10,2436,41,24549.464468955994,13,379876.1786690307
325905.61241325317,10,2494,42,25719.979253292084,13,417363.3761569566
325905.61241325317,10,2494,43,26916.038677930832,13,424451.17382469366
325905.61241325317,10,2494,44,28137.61654663086,13,401145.9245237712
325505.6812749028,10,2443,45,29384.831408023834,13,414992.9333585574
325505.6812749028,10,2443,46,30658.236206531525,13,721208.544458152
325462.62434582005,10,2112,47,31959.150235414505,13,471780.55703127367
325462.62434582005,10,2112,48,33287.91867995262,13,471780.55703127367
324111.7361486255,10,2696,49,34643.41781234741,13,438376.6080104409
324111.7361486255,10,2696,50,36025.84188389778,13,448674.8923292572
324111.7361486255,10,2696,51,37435.50849485397,13,470391.7570376772
323404.86258261546,10,2379,52,38873.50388336182,13,443885.1383115405
