fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
0.9377407407407408,10,1280,1,261.0272641181946,16,0.9737963516746411
0.9466349206349206,10,856,2,702.5778970718384,16,0.9737963516746411
0.9467069871080693,10,782,3,1343.4348540306091,16,0.9737963516746411
0.9467069871080693,10,782,4,2183.7207033634186,16,0.9737963516746411
0.9511286057931253,10,676,5,3212.2846138477325,16,0.9737963516746411
0.9511286057931253,10,676,6,4437.056744098663,16,0.9737963516746411
0.9511695149604557,10,727,7,5851.035302400589,16,1.0
0.9511695149604557,10,727,8,7452.578378200531,16,1.0
0.9599872937719629,10,1111,9,9240.760202407837,16,0.9737963516746411
0.9599872937719629,10,1111,10,11223.80676317215,16,0.9737963516746411
0.9644444444444444,10,1088,11,13376.662325620651,16,0.9737963516746411
0.9644444444444444,10,1088,12,15754.738396167755,16,0.9737963516746411
0.9644713247387128,10,1201,13,18395.78864121437,16,0.9737963516746411
0.9644713247387128,10,1201,14,21308.546830177307,16,0.9737963516746411
0.9645423897228432,10,1088,15,24504.074595212936,16,0.9737963516746411
0.9688790062670822,10,1272,16,27986.954146146774,16,0.9737963516746411
0.9688790062670822,10,1272,17,31762.71099448204,16,0.9737963516746411
0.9688790062670822,10,1272,18,35832.875062704086,16,0.9737963516746411
0.9688790062670822,10,1272,19,40192.41641378403,16,0.9737963516746411
0.9688790062670822,10,1272,20,44850.555250406265,16,0.9737963516746411
0.9733333333333334,10,1196,21,49776.93995285034,16,0.9737963516746411
0.9733333333333334,10,1196,22,54970.64407634735,16,0.9737963516746411
0.9733333333333334,10,1196,23,60429.58229422569,16,0.9737963516746411
0.9733333333333334,10,1196,24,66089.27020072937,16,0.9737963516746411
0.9733333333333334,10,1196,25,72035.46648573875,16,0.9737963516746411
0.9733333333333334,10,1196,26,78267.93930983543,16,0.9737963516746411
0.9777857299059661,10,1388,27,84784.05939149857,16,0.9608008786009967
0.9777857299059661,10,1388,28,91590.30188655853,16,0.9608008786009967
0.9777857299059661,10,1388,29,98671.65550971031,16,0.9608008786009967
0.9822116402116402,10,1308,30,105995.4907143116,16,0.9608008786009967
0.9822116402116402,10,1308,31,113509.61150979996,16,0.9608008786009967
0.9822116402116402,10,1308,32,121217.38146090508,16,0.9608008786009967
0.9822116402116402,10,1308,33,129111.29713463783,16,0.9608008786009967
0.9822116402116402,10,1308,34,137187.4715476036,16,0.973610496830311
0.9822116402116402,10,1308,35,145441.3654475212,16,0.973610496830311
0.9822116402116402,10,1308,36,153873.37242913246,16,0.973610496830311
0.9822116402116402,10,1308,37,162543.79613161087,16,0.973610496830311
0.9822116402116402,10,1308,38,171509.95789384842,16,0.973610496830311
0.9822116402116402,10,1308,39,180772.98994612694,16,0.973610496830311
0.9822116402116402,10,1308,40,190331.8737704754,16,0.973610496830311
0.9822116402116402,10,1308,41,200187.97159266472,16,0.973610496830311
