fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
1.0,10,954,1,129.49407315254211,0,1.0
1.0,10,954,2,336.74707078933716,0,1.0
1.0,10,954,3,625.0727097988129,0,1.0
1.0,10,954,4,999.9360806941986,0,1.0
1.0,10,954,5,1466.155436515808,0,1.0
1.0,10,954,6,2027.5542109012604,0,1.0
1.0,10,954,7,2684.3509917259216,0,1.0
1.0,10,954,8,3452.8966286182404,0,1.0
1.0,10,954,9,4387.983074426651,0,1.0
1.0,10,954,10,5479.215926408768,0,1.0
1.0,10,954,11,6727.591477155685,0,1.0
1.0,10,954,12,8141.269373178482,0,1.0
1.0,10,954,13,9718.258365631104,0,1.0
1.0,10,954,14,11466.742587566376,0,1.0
1.0,10,954,15,13387.993298768997,0,1.0
1.0,10,954,16,15483.638991355896,0,1.0
1.0,10,954,17,17750.444086313248,0,1.0
1.0,10,954,18,20189.461623191833,0,1.0
1.0,10,954,19,22804.836540222168,0,1.0
1.0,10,954,20,25594.640473604202,0,1.0
1.0,10,954,21,28557.32003760338,0,1.0
1.0,10,954,22,31692.322558879852,0,1.0
1.0,10,954,23,34997.4085483551,0,1.0
1.0,10,954,24,38475.38956642151,0,1.0
1.0,10,954,25,42126.40308332443,0,1.0
1.0,10,954,26,45950.67983841896,0,1.0
1.0,10,954,27,49952.940324783325,0,1.0
1.0,10,954,28,54130.01397037506,0,1.0
1.0,10,954,29,58482.69997358322,0,1.0
1.0,10,954,30,63015.001819610596,0,1.0
1.0,10,954,31,67725.48302865028,0,1.0
1.0,10,954,32,72612.7707631588,0,1.0
1.0,10,954,33,77678.27690339088,0,1.0
1.0,10,954,34,82926.14358949661,0,1.0
1.0,10,954,35,88356.8631401062,0,1.0
1.0,10,954,36,93971.57509970665,0,1.0
1.0,10,954,37,99766.16380596161,0,1.0
1.0,10,954,38,105742.29787659645,0,1.0
1.0,10,954,39,111900.31307530403,0,1.0
1.0,10,954,40,118243.29258990288,0,1.0
1.0,10,954,41,124772.3711822033,0,1.0
1.0,10,954,42,131482.34356594086,0,1.0
1.0,10,954,43,138374.23548412323,0,1.0
1.0,10,954,44,145445.39110898972,0,1.0
1.0,10,954,45,152695.6663866043,0,1.0
1.0,10,954,46,160123.62790989876,0,1.0
1.0,10,954,47,167730.81478476524,0,1.0
1.0,10,954,48,175518.62599682808,0,1.0
