fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed,test_fitness
341817.6776695245,10,720,1,412.49850249290466,29,441140.04268428683
338583.067937194,10,991,2,1116.9770884513855,29,302061.4117707681
316913.5298256503,10,626,3,2147.0251655578613,29,431745.2880275792
315197.6481286261,10,1031,4,3482.2891466617584,29,319979.45367276116
312679.5869182991,10,914,5,5085.439303636551,29,319049.3192353053
311177.3418647857,10,849,6,6843.095262527466,29,436816.9205802091
311177.3418647857,10,849,7,8751.825273752213,29,436816.9205802091
307724.62079546164,10,739,8,10823.117250680923,29,393288.73064012494
307724.62079546164,10,739,9,13052.935981750488,29,393288.73064012494
302983.87827534415,10,739,10,15448.815521240234,29,393288.73064012494
300328.0108938156,10,775,11,18017.066365242004,29,386169.5401494184
293469.86297143373,10,736,12,20791.567054510117,29,414617.9211787666
293469.86297143373,10,736,13,23860.37594461441,29,453856.10922456416
290700.3591610607,10,803,14,27237.9444732666,29,394424.986996337
289063.82524241594,10,707,15,30924.0956594944,29,420891.6345373206
289063.82524241594,10,707,16,34913.162095308304,29,420891.6345373206
286940.98541838914,10,803,17,39198.29781603813,29,394424.986996337
277256.8738036957,10,670,18,43768.25655221939,29,379461.6877815691
277256.8738036957,10,670,19,48634.09330177307,29,380906.7272038955
277256.8738036957,10,670,20,53820.585455179214,29,398242.02273295657
276764.8803218982,10,1007,21,59352.80101251602,29,398242.02273295657
276764.8803218982,10,1007,22,65245.73561358452,29,398242.02273295657
271786.5248410221,10,1012,23,71506.53233838081,29,398242.02273295657
271786.5248410221,10,1012,24,78150.33730769157,29,398242.02273295657
271786.5248410221,10,1012,25,85163.83826422691,29,398242.02273295657
268877.10170365404,10,1010,26,92558.1658885479,29,398501.22981255595
268877.10170365404,10,1010,27,100329.475471735,29,319239.41868569504
268851.90430346853,10,1204,28,108476.65661787987,29,398501.22981255595
267696.15385964984,10,900,29,117007.67152404785,29,424828.7831465302
267696.15385964984,10,900,30,125922.3727490902,29,328456.5734860854
267696.15385964984,10,900,31,135217.20055627823,29,316343.31381120754
267696.15385964984,10,900,32,144877.67058873177,29,316343.31381120754
267696.15385964984,10,900,33,154884.71203112602,29,404739.4863471315
267696.15385964984,10,900,34,165229.30704641342,29,404739.4863471315
267696.15385964984,10,900,35,175896.75613236427,29,404739.4863471315
267696.15385964984,10,900,36,186879.0081193447,29,404739.4863471315
267696.15385964984,10,900,37,198150.26195907593,29,404739.4863471315
267696.15385964984,10,900,38,209701.12874817848,29,404739.4863471315
267662.4880713908,10,704,39,221527.29642486572,29,301994.8808356676
267662.4880713908,10,704,40,233611.0772907734,29,296125.57404409855
267018.0592837787,10,704,41,245947.3141732216,29,301994.8808356676
267018.0592837787,10,704,42,258544.32998800278,29,301994.8808356676
265518.0515936333,10,866,43,271413.2044701576,29,396201.89033345575
265518.0515936333,10,866,44,284563.2304856777,29,396201.89033345575
265518.0515936333,10,866,45,298006.1105000973,29,396201.89033345575
265518.0515936333,10,866,46,311761.8940501213,29,396201.89033345575
264888.54227549286,10,618,47,325832.9371523857,29,425109.5608512804
264888.54227549286,10,618,48,340215.1165187359,29,425109.5608512804
264888.54227549286,10,618,49,354899.7152502537,29,427369.43738003395
264888.54227549286,10,618,50,369859.0829193592,29,427369.43738003395
264888.54227549286,10,618,51,385080.74974393845,29,427369.43738003395
264888.54227549286,10,618,52,400559.367423296,29,427369.43738003395
264888.54227549286,10,618,53,416300.4401283264,29,427369.43738003395
264888.54227549286,10,618,54,432305.6237027645,29,340821.45220509963
263009.6880387469,10,701,55,448568.93167853355,29,383939.06373158423
263009.6880387469,10,701,56,465093.5826973915,29,383939.06373158423
263009.6880387469,10,701,57,481875.5871884823,29,383939.06373158423
263009.6880387469,10,701,58,498917.9233806133,29,383939.06373158423
263009.6880387469,10,701,59,516218.14703917503,29,383939.06373158423
263009.6880387469,10,701,60,533776.059309721,29,383939.06373158423
263009.6880387469,10,701,61,551589.4902377129,29,350836.83259505907
263009.6880387469,10,701,62,569654.5898952484,29,350836.83259505907
263009.6880387469,10,701,63,587972.1351737976,29,350836.83259505907
263009.6880387469,10,701,64,606542.6468880177,29,347346.9091280864
263009.6880387469,10,701,65,625368.7087049484,29,347346.9091280864
260931.64457598142,10,727,66,644450.7396290302,29,383939.06373158423
260931.64457598142,10,727,67,663786.0851061344,29,383939.06373158423
260931.64457598142,10,727,68,683373.9200901985,29,278213.7856042445
260931.64457598142,10,727,69,703215.9885485172,29,311164.7137225836
260931.64457598142,10,727,70,723312.1982061863,29,307693.26508870383
258969.54836504464,10,703,71,743665.9223940372,29,383939.06373158423
258969.54836504464,10,703,72,764272.2052617073,29,404650.37205440894
258969.54836504464,10,703,73,785131.2226746082,29,428742.8015784864
258969.54836504464,10,703,74,806245.0345084667,29,395161.69239345705
258969.54836504464,10,703,75,827611.0381085873,29,395161.69239345705
