fitness,depth,nodes,number_of_the_generation,time_since_the_start_of_the_evolution,seed
424114.6257529531,2,15,118,55.81055212020874,16
424114.6257529531,2,13,119,56.292811155319214,16
424114.6257529531,2,16,120,56.773847341537476,16
424114.6257529531,2,16,121,57.264405488967896,16
424517.627141528,2,14,122,57.90997672080994,16
424114.6257529531,2,16,123,58.42256784439087,16
424114.6257529531,2,15,124,58.92008686065674,16
424114.6257529531,2,16,125,59.41395354270935,16
424114.6257529531,2,16,126,59.89871025085449,16
424114.6257529531,2,16,127,60.3555109500885,16
424517.627141528,2,16,128,60.99136400222778,16
424114.6257529531,2,11,129,61.48481583595276,16
424114.6257529531,2,14,130,61.976502656936646,16
424114.6257529531,2,11,131,62.46894311904907,16
424114.6257529531,2,15,132,62.95930075645447,16
424517.627141528,2,14,133,63.44745111465454,16
424114.6257529531,2,12,134,64.0794563293457,16
424114.6257529531,2,15,135,64.57891035079956,16
424114.6257529531,2,14,136,65.08122611045837,16
424114.6257529531,2,12,137,65.58179998397827,16
424114.6257529531,2,10,138,66.05233550071716,16
424114.6257529531,2,14,139,66.67163610458374,16
424114.6257529531,2,11,140,67.14626383781433,16
424517.627141528,2,10,141,67.61593437194824,16
424114.6257529531,2,12,142,68.111887216568,16
424114.6257529531,2,14,143,68.60272574424744,16
424114.6257529531,2,9,144,69.08711671829224,16
424114.6257529531,2,16,145,69.73025250434875,16
424114.6257529531,2,14,146,70.22538208961487,16
425834.1049947183,2,11,147,70.72911620140076,16
424114.6257529531,2,15,148,71.21614003181458,16
427003.8585922583,2,11,149,71.70656728744507,16
424114.6257529531,2,15,150,72.2108781337738,16
424114.6257529531,2,16,151,72.8905029296875,16
424114.6257529531,2,15,152,73.3764488697052,16
424114.6257529531,2,16,153,73.87663125991821,16
424114.6257529531,2,14,154,74.38022971153259,16
424114.6257529531,2,14,155,74.86527180671692,16
424114.6257529531,2,15,156,75.34102749824524,16
424114.6257529531,2,16,157,75.9935622215271,16
424517.627141528,2,12,158,76.50213527679443,16
424114.6257529531,2,15,159,76.97763085365295,16
424114.6257529531,2,16,160,77.47010827064514,16
424114.6257529531,2,16,161,77.90115594863892,16
424114.6257529531,2,13,162,78.443368434906,16
424114.6257529531,2,15,163,78.76936173439026,16
424114.6257529531,2,13,164,79.1894097328186,16
424114.6257529531,2,13,165,79.63787460327148,16
424114.6257529531,2,14,166,80.12551784515381,16
424114.6257529531,2,14,167,80.61812686920166,16
424517.627141528,2,15,168,81.26171684265137,16
424114.6257529531,2,13,169,81.75526213645935,16
424517.627141528,2,13,170,82.26352190971375,16
424114.6257529531,2,15,171,82.73959183692932,16
424114.6257529531,2,16,172,83.23117160797119,16
424114.6257529531,2,14,173,83.72566509246826,16
424114.6257529531,2,16,174,84.38554644584656,16
424114.6257529531,2,14,175,84.8811891078949,16
424114.6257529531,2,14,176,85.38083076477051,16
424114.6257529531,2,16,177,85.93483328819275,16
424114.6257529531,2,13,178,86.4328260421753,16
424114.6257529531,2,14,179,86.93170523643494,16
424114.6257529531,2,16,180,87.57352066040039,16
425834.1049947183,2,15,181,88.0711841583252,16
424114.6257529531,2,13,182,88.56691098213196,16
424114.6257529531,2,14,183,89.1163604259491,16
424114.6257529531,2,14,184,89.62664318084717,16
424517.627141528,2,12,185,90.27430510520935,16
